# stride     time       GB/sec
   1        0.042428        28.2832
   2        0.120377        9.96868
   3        0.168107        7.13831
   4        0.235153        5.10306
   5        0.311109        3.85717
   6        0.355833        3.37237
   7        0.431296        2.78231
   8        0.502569        2.38773
   9        0.549516        2.18374
   10        0.624792        1.92064
   11        0.673498        1.78174
   12        0.746097        1.60837
   13        0.820617        1.46231
   14        0.861678        1.39263
   15        0.936427        1.28147
   16        1.00677        1.19193
   17        1.03629        1.15798
   18        1.09355        1.09734
   19        1.12504        1.06663
   20        1.17261        1.02336
   21        1.22663        0.978291
   22        1.249        0.960766
   23        1.3017        0.921874
   24        1.35292        0.88697
   25        1.37572        0.872272
   26        1.41969        0.845256
   27        1.45273        0.826029
   28        1.47944        0.811119
   29        1.52076        0.789082
   30        1.50888        0.795293
   31        1.53889        0.779783
   32        1.67142        0.71795

