# stride     time       GB/sec
   1        0.013312        90.1442
   2        0.033645        35.6665
   3        0.049236        24.3724
   4        0.055954        21.4462
   5        0.063018        19.0422
   6        0.073359        16.3579
   7        0.083043        14.4503
   8        0.092531        12.9686
   9        0.103568        11.5866
   10        0.116298        10.3183
   11        0.128292        9.35366
   12        0.139058        8.62949
   13        0.150226        7.98796
   14        0.161199        7.44421
   15        0.170664        7.03136
   16        0.180439        6.65045
   17        0.18679        6.42433
   18        0.193852        6.19029
   19        0.200235        5.99296
   20        0.207103        5.79422
   21        0.211277        5.67975
   22        0.217728        5.51146
   23        0.223153        5.37748
   24        0.231584        5.18171
   25        0.23512        5.10378
   26        0.241932        4.96007
   27        0.24567        4.8846
   28        0.251481        4.77173
   29        0.256766        4.67352
   30        0.261103        4.59589
   31        0.268795        4.46437
   32        0.270861        4.43032

