# Using device: Tesla K20m
# stride     time       GB/sec
   1        0.00186        129.032
   2        0.005073        47.3093
   3        0.006904        34.7625
   4        0.009935        24.157
   5        0.012335        19.4568
   6        0.013922        17.2389
   7        0.017785        13.4945
   8        0.018577        12.9192
   9        0.019592        12.2499
   10        0.01994        12.0361
   11        0.020641        11.6273
   12        0.02157        11.1266
   13        0.022427        10.7014
   14        0.02317        10.3582
   15        0.024805        9.67547
   16        0.025235        9.5106
   17        0.026862        8.93455
   18        0.028229        8.5019
   19        0.029781        8.05883
   20        0.032167        7.46106
   21        0.032969        7.27957
   22        0.034717        6.91304
   23        0.036391        6.59504
   24        0.037984        6.31845
   25        0.040361        5.94633
   26        0.041379        5.80004
   27        0.043162        5.56045
   28        0.044556        5.38648
   29        0.046384        5.1742
   30        0.048085        4.99116
   31        0.049665        4.83238
   32        0.050811        4.72339

